問題No,学年・学期,単元ID,単元名,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答番号,解説１,解説２,解説３,解説４,図１,図２,国試,,,,,,,,,,,,
1,1100,1000,香粧品概論,香粧品の製造や販売を厳しく規制している法律の名前は何ですか？,医師法,薬機法,理容師法・美容師法,,1,不正解。　医師法は医療行為を規制する法律です。,正解です。　正式名称を「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」といいます。,不正解。　理容師法・美容師法は、資格や施設を規制する法律です。,,,,,,,,,,,,,,,,
2,1100,1000,香粧品概論,薬機法において、香粧品は主に何と何に分類されますか？,医薬品と医薬部外品,化粧品と医薬部外品,化粧品と雑貨,,1,不正解。　香粧品の中に医薬品は含まれません。,正解です。　効能が緩和な「化粧品」と、特定の有効成分を含む「医薬部外品」に分けられます。,不正解。　香粧品の中に雑貨は含まれません。,,,,,,,,,,,,,,,,
3,1100,1000,香粧品概論,全成分表示義務があるのはどれですか？,化粧品,医薬部外品,両方,,0,正解です。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,不正解。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,不正解。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,,,,,,,,,,,,,,,,
4,1100,1000,香粧品概論,香粧品の使用期限について、特に記載がない場合の目安はどのくらい？,約半年,未開封で約3年,期限はない,,1,不正解。　一般的な製品はもっと長く持ちます。,正解です。　適切な保存状態で「未開封なら3年」品質が保持されるよう設計されています。,不正解。　開封後はなるべく早く使い切るのが基本です。,,,,,,,,,,,,,,,,
5,1101,1000,香粧品概論,香粧品の定義を定めている法律は？,理容師法・美容師法,医薬品医療機器等法,PL法,,2,不l正解。　理容師・美容師法は免許や業務のルールです。正解は「医薬品医療機器等法（薬機法）」です。,正解です。　「医薬品医療機器等法（薬機法）」で香粧品の品質や安全性が厳しく定められています。,不l正解。　PL法は製品の欠陥による被害から消費者を守る法律です。正解は「医薬品医療機器等法」です。,,,,,,,,,,,,,,,,
6,1101,1000,香粧品概論,化粧という行為は、人間特有のどのような欲求の現れですか？,自己顕示欲,承認欲求,生存欲求,,1,正解です。　自分をより良く見せたい、個性を出したいという「自己顕示欲」の現れとされます。,不l正解。　他人に認めてもらいたい「承認欲求」も近いですが、教科書では「自己顕示欲」と定義されています。,不l正解。　生存欲求とは異なる、人間ならではの精神的な欲求に基づいています。,,,,,,,,,,,,,,,,
7,1101,1000,香粧品概論,理容師・美容師が薬剤を使う際、必ず必要なのは客の何？,氏名の確認,本人の同意,住所の確認,,2,不l正解。　氏名も大切ですが、法律上、薬剤を使用する際は「本人の同意」が不可欠です。,正解です。　思わぬ肌の異常（トラブル）などを防ぐため、施術の前に「本人の同意」を得ることが義務付けられています。,不l正解。　住所確認よりも、施術に対する「本人の同意」が重要です。,,,,,,,,,,,,,,,,
8,1101,1000,香粧品概論,香粧品を使用する際、最も優先されるべきことは？,香りの良さ,安全性,価格の安さ,,2,不l正解。　香りは大切な要素ですが、直接身体に使用するものとして最も優先すべきは「安全性」です。,正解です。　香粧品は皮膚や毛髪に直接、かつ長期間使用するため、副作用や刺激がないという安全性が第一に求められます。,不l正解。　いくら安くても、肌トラブル（肌の異常）を起こしては意味がありません。最も重要なのは安全性です。,,,,,,,,,,,,,,,,
9,1102,1000,香粧品概論,皮膚や毛髪を清潔にし、健やかに保つ目的で使われるものは？,医薬品,化粧品,雑貨,,2,不l正解。　医薬品は、病気の診断や治療、予防を目的としたものです。,正解です。　化粧品は、身体を清潔にし、美化し、健やかに保つために使用されるものと定義されています。,不l正解。　身体に直接作用し、美化や清潔を目的とするものは、法律上「化粧品」に分類されます。,,,,,,,,,,,,,,,,
10,1102,1000,香粧品概論,香粧品の品質を長期間安定させるために配合される成分は？,界面活性剤,酸化防止剤・防腐剤,香料,,2,不l正解。　界面活性剤は、主に汚れを落としたり、水と油を混ぜたりする成分です。,正解です。　製品が酸素に触れて傷むのを防ぐ「酸化防止剤」や、菌の繁殖を防ぐ「防腐剤」が品質維持に不可欠です。,不l正解。　香料は製品に香りを付けるための成分であり、品質を長期間安定させるのが主な目的ではありません。,,,,,,,,,,,,,,,,
11,1102,1000,香粧品概論,化粧品にアレルギー成分が含まれていないか確認するために必要な表示は？,製造年月日,全成分表示,使用期限,,2,不l正解。　製造年月日だけでは、どのような成分が入っているかを判断することはできません。,正解です。　アレルギーなどの肌トラブルを防ぐため、配合されているすべての成分を表示することが法律で義務付けられています。,不l正解。　使用期限は品質が保たれる期間を示すもので、成分の内容を確認するためのものではありません。,,,,,,,,,,,,,,,,
12,1103,1100,水とアルコール,水分子同士が引き合い、水が高い沸点を持つ原因となっている結合は？,イオン結合,水素結合,金属結合,,2,不l正解。　イオン結合はプラスとマイナスの電気の力で結びつく強い結合で、塩化ナトリウムなどに多く見られます。,正解です。　水分子の間にある「水素結合」という引き合う力が強いため、水は他の液体に比べて蒸発しにくい性質（高い沸点）を持ちます。,不l正解。　金属結合は金属の原子同士を固くつなぎとめる結合のことです。水の場合は水素結合が正解です。,,,,,,,,,,,,,,,,
13,1103,1100,水とアルコール,物質を溶かしている液体のことを何といいますか？,溶質,溶媒,溶液,,2,不l正解。　溶質は、水に溶けている砂糖や塩などの物質そのもののことを指します。,正解です。　溶媒とは、他の物質を溶かすための液体のことです。香粧品では主に水やアルコールが使われます。,不l正解。　溶液は、溶媒と溶質が混ざり合って均一になった液体全体の状態を指します。,,,,,,,,,,,,,,,,
14,1103,1100,水とアルコール,真皮に存在し、肌のハリや弾力を保つ役割をしているタンパク質は？,ケラチン,コラーゲン,メラニン,,2,不l正解。　ケラチンは皮膚の一番外側（角質層）や、爪、毛髪を構成する非常に硬いタンパク質です。,正解です。　コラーゲンは肌の奥にある「真皮」という層で網目状に広がり、肌の弾力をクッションのように支えています。,不l正解。メラニンは紫外線を吸収して肌を守るための「色素」であり、ハリや弾力をつくるタンパク質ではありません。,,,,,,,,,,,,,,,,
15,1103,1100,水とアルコール,皮膚の水分を補い、潤いを与える効果を何といいますか？,モイスチャー効果,エモリエント効果,洗浄効果,,1,正解です。　モイスチャー効果とは、肌に水分を与えて保持し、乾燥を防ぐ「保湿」の働きを指します。,不l正解。　エモリエント効果は、油分によって肌を柔らかくし、水分の蒸発を防ぐ働きのことです。,不l正解。　洗浄効果は、石けんなどのように皮膚の汚れを取り除いて清潔にする働きのことをいいます。,,,,,,,,,,,,,,,,
16,1103,1100,水とアルコール,皮膚を柔らかくし、水分の蒸発を防ぐ油分の効果を何といいますか？,モイスチャー効果,エモリエント効果,殺菌効果,,2,不l正解。　モイスチャー効果は、主に肌に水分を与えて潤いを保つ働きのことを指します。,正解です。 エモリエント効果とは、油分が肌の表面に膜を作り、皮膚を柔らかく保ちながら水分の蒸発を防ぐ働きです。,不l正解。　殺菌効果は、細菌を死滅させたり増殖を抑えたりする働きです。正解はエモリエント効果です。,,,,,,,,,,,,,,,,
17,1103,1100,水とアルコール,皮膚の表面にある、細菌の侵入を防ぐ薄い膜を何といいますか？,角質層,皮脂膜,真皮,,2,不l正解。　角質層は皮膚の最も外側の層自体の名称です。膜そのものは皮脂膜を指します。,正解です。　　皮脂膜は汗と皮脂が混ざり合ってできた天然のバリアで、外部の刺激や細菌から肌を守っています。,不l正解。　真皮は皮膚の深い部分にある層で、表面のバリア機能を担っている膜ではありません。,,,,,,,,,,,,,,,,
18,1103,1100,水とアルコール,健康な成人の皮膚表面のpHは、どの状態ですか？,弱アルカリ性,中性,弱酸性,,3,不l正解。　肌がアルカリ性に傾くと、バリア機能が低下して細菌が繁殖しやすくなってしまいます。,不l正解。　中性（pH7.0）よりも、健康な肌は少しだけ酸性に寄った数値を示しています。,正解です。　　健康な皮膚は「弱酸性」に保たれており、これによって病原菌などの増殖を抑える力が働いています。,,,,,,,,,,,,,,,,
19,1103,1100,水とアルコール,物質が水に溶ける性質のことを何といいますか？,親油性,親水性,揮発性,,2,不l正解。　親油性は、水よりも「油」になじみやすく、油に溶けやすい性質のことをいいます。,正解です。　　親水性とは、水になじみやすく、水に溶けやすい性質のことです。,不l正解。　揮発性は、アルコールのように常温で液体が気体になって蒸発しやすい性質のことです。,,,,,,,,,,,,,,,,
20,1103,1100,水とアルコール,真皮の中で、水分を保持する役割をするタンパク質は？,脂質,タンパク質,ミネラル,,2,不l正解。　脂質やミネラルではありません。,正解です。真皮では、コラーゲンというタンパク質が水分を保持しています。,不l正解。　脂質やミネラルではありません。,,,,,,,,,,,,,,,,
21,1103,1100,水とアルコール,皮膚の角質層に含まれる、水分を保持する成分を何といいますか？,キレート剤,天然保湿因子,高級脂肪酸,,2,不正解。　キレート剤は金属イオンを封鎖するものです。,正解です。天然保湿因子（NMF）は、角質層で水分を保持する重要な成分です。,不正解。　キレート剤は金属イオンを封鎖するものです。,,,,,,,,,,,,,,,,
22,1104,1100,水とアルコール,水素イオン指数(pH)の値が「ｐＨ5」は何性ですか？,アルカリ性,中性,酸性,,2,不l正解。　pH7が中性で、それより低いと酸性、高いとアルカリ性です。,不l正解。　pH7が中性で、それより低いと酸性、高いとアルカリ性です。,正解です。　pH7が中性で、それより低いと酸性、高いとアルカリ性です。,,,,,,,,,,,,,,,,
23,1104,1100,水とアルコール,毒性が非常に強く、香粧品への配合が禁止されているアルコールは？,グリセリン,エタノール,メタノール,,3,不l正解。　グリセリンは保湿成分として広く使われます。,不l正解。　エタノールはお酒の主成分や消毒に使われます。,正解です。　メタノールは失明などの危険があり、配合が禁止されています。,,,,,,,,,,,,,,,,
24,1104,1100,水とアルコール,エタノール濃度が約何％のとき、殺菌力が最も強くなりますか？,約40％,約60％,約80％,,3,不l正解。　濃度が低すぎると十分な殺菌力が得られません。,不l正解。　濃度が低すぎると十分な殺菌力が得られません。,正解です。　エタノールは濃度が約80％で殺菌力が最大になります。,,,,,,,,,,,,,,,,
25,1104,1100,水とアルコール,エタノールのように「炭素」を含む化合物を何といいますか？,無機化合物,有機化合物,酸化物,,2,不l正解。　炭素を含まないものを無機化合物といいます。,正解です。　エタノールのように炭素を含む化合物を有機化合物といいます。,不l正解。　炭素を含まないものを無機化合物といいます。,,,,,,,,,,,,,,,,
26,1104,1100,水とアルコール,殺菌力があり、安価だが、消毒用エタノールより刺激が強いのは？,2-イソプロパノール,メタノール,セタノール,,1,正解です。　2-イソプロパノールは安価で殺菌力もありますが、脱脂力が強く刺激的です。,不l正解。　メタノールは毒性が強く使用できません。,不l正解。　セタノールは高級アルコールで乳化安定剤、保湿剤、エモリエント剤として、クリームや乳液に使用されます,,,,,,,,,,,,,,,,
27,1104,1100,水とアルコール,エタノールの特徴はどれですか？,有機化合物を溶かす,無機化合物を溶かす,炭化水素である,,1,正解です。　エタノールは水にも油（有機化合物）にもなじみ、溶かす性質があります。,不l正解。　エタノールは主に有機化合物を溶かすのが得意です。,不l正解。　エタノールは主に有機化合物を溶かすのが得意です。,,,,,,,,,,,,,,,,
28,1105,1000,香粧品概論,香粧品の効能・効果の表現で、正しいものはどれですか？,肌荒れを防ぐ,ふけ・かゆみを防ぐ,ニキビを治す,,3,不l正解。　「肌荒れを防ぐ」は化粧品で認められる表現の一つです。,不l正解。　「ふけ・かゆみを防ぐ」は化粧品で認められる表現の一つです。,正解です。　「ニキビを防ぐ」は認められますが「ニキビを治す」は認められません。,,,,,,,,,,,,,,,,
29,1105,1200,油性原料,一般に酸とアルコールから水が取れて結合したものを何といいますか？,エステル,エーテル,アルデヒド,,1,正解です。　酸（カルボン酸）とアルコールが反応してできる化合物をエステルといいます。,不l正解。　エーテルやアルデヒドは異なる結合様式を持つ化合物です。,不l正解。　エーテルやアルデヒドは異なる結合様式を持つ化合物です。,,,,,,,,,,,,,,,,
30,1106,1200,油性原料,油脂は何とグリセリンのエステルですか？,アミノ酸,脂肪酸,核酸,,2,不l正解。　アミノ酸はタンパク質の構成成分です。,正解です。　油脂は「脂肪酸」とグリセリンがエステル結合したものです。,不l正解。　核酸は遺伝情報の伝達などに関わる物質です。,,,,,,,,,,,,,,,,
31,1106,1200,油性原料,常温で「固体」の油脂を何といいますか？,脂肪,脂肪油,ロウ,,1,正解です。　常温で固体のものを「脂肪」と呼びます。,不l正解。　常温で液体のものを脂肪油といいます。,不l正解。　ロウは油脂とは化学的構造が異なる物質です。,,,,,,,,,,,,,,,,
32,1106,1200,油性原料,常温で「液体」の油脂を何といいますか？,脂肪,脂肪油,精製油,,2,不l正解。　固体のものを脂肪といいます。,正解です。　常温で液体のものを「脂肪油」と呼びます。,不l正解。　液体のものは脂肪油といいます。,,,,,,,,,,,,,,,,
33,1106,1200,油性原料,油性原料の皮膚への作用で誤っているものは？,柔軟化,水分蒸発の促進,皮膚の保護,,2,不l正解。　油分は肌を柔らかくし、外部から保護します。,正解です。油性原料は肌に膜を張ることで、水分蒸発を「抑制」します。,不l正解。　油分は肌を柔らかくし、保護しますが、水分蒸発は抑制します。,,,,,,,,,,,,,,,,
34,1106,1200,油性原料,トリグリセリドとはなんですか？,酸化剤,防腐剤,油脂,,3,不l正解。　トリグリセリドは「油脂」そのものの化学的な名称です。,不l正解。　トリグリセリドは「油脂」そのものの化学的な名称です。,正解です。　グリセリンに3つの脂肪酸が結合したものを「トリグリセリド」と呼び、これが油脂の主成分です。,,,,,,,,,,,,,,,,
35,1106,1200,油性原料,油脂が日光や酸素などの影響で分解され、不快な臭いや色が変わる現象は？,還元,酸化（酸敗）,中和,,2,不l正解。　酸素と反応して変質することを酸化（酸敗）といいます。,正解です。　油脂が酸素や日光によって分解されることを酸化（酸敗）といいます。,不l正解。　酸素と反応して変質することを酸化（酸敗）といいます。,,,,,,,,,,,,,,,,
36,1106,1200,油性原料,常温で液体の脂肪油のうち、空気中で乾きやすい油を何といいますか？,乾性油,不乾性油,鉱物油,,1,正解です。　空気中に放置すると薄い膜を作って乾く油を「乾性油」といいます。,不l正解。　空気に触れても乾きにくいものを不乾性油といいます。,不l正解。　空気に触れても乾きやすいものは乾性油といいます。,,,,,,,,,,,,,,,,
37,1106,1200,油性原料,油脂に関する組み合わせで、正しいものはどれですか？,動物性：モクロウ,動物性：ミツロウ,植物性：肝油,,3,不l正解。　モクロウはハゼの実からとれる植物性です。,正解です。　ミツロウはハチの巣からとれるので動物性です。,不l正解。　肝油は動物性です。,,,,,,,,,,,,,,,,
38,1107,1200,油性原料,ロウは高級脂肪酸と何が化学結合したものですか？,水酸化ナトリウム,アミノ酸,高級アルコール,,3,不l正解。　高級脂肪酸と高級アルコールのエステル結合です。,不l正解。　高級脂肪酸と高級アルコールのエステル結合です。,正解です。　ロウ（ワックス）は高級脂肪酸と高級アルコールがエステル結合したものです。,,,,,,,,,,,,,,,,
39,1107,1200,油性原料,ロウ類の中で、例外的に常温で「液体」なものはどれですか？,ミツロウ,カルナウバロウ,ホホバ油,,3,不l正解。　ミツロウやカルナウバロウは固体です。,不l正解。　ミツロウやカルナウバロウは固体です。,正解です。　ホホバ油は名前は「油」ですが、化学的には液体状のロウです。,,,,,,,,,,,,,,,,
40,1107,1200,油性原料,ステアリン酸の特徴はどれですか？,脂肪酸エステル,高級脂アルコール,高級脂肪酸,,3,不l正解。　ステアリン酸は代表的な高級脂肪酸です。,不l正解。　ステアリン酸は代表的な高級脂肪酸です。,正解です。　ステアリン酸は代表的な「高級脂肪酸」で、石けんやクリームの原料になります。,,,,,,,,,,,,,,,,
41,1107,1200,油性原料,代表的な高級脂肪酸で、牛脂などに含まれている成分はどれですか？,ステアリン酸,酢酸,塩酸,,1,正解です。　ステアリン酸は牛脂などの油脂の主成分として広く含まれています。,不l正解。　酢酸や塩酸は油脂の構成成分ではありません。,不l正解。　酢酸や塩酸は油脂の構成成分ではありません。,,,,,,,,,,,,,,,,
42,1107,1200,油性原料,化合物の中に含まれる何の数が多いものを「高級」と呼びますか？,水素原子,酸素原子,炭素原子,,3,不l正解。　炭素原子の数が多いものを高級と呼びます。,不l正解。　炭素原子の数が多いものを高級と呼びます。,正解です。　化学の世界では、分子の中の炭素原子の数が多いものを「高級」と呼びます。,,,,,,,,,,,,,,,,
43,1107,1200,油性原料,乳化助剤として、粘度を出したり安定させたりするために使われるアルコールはどれですか？,メタノール,エタノール,セタノール,,3,不l正解。　メタノールやエタノールは粘度を出すのには向きません。,不l正解。　メタノールやエタノールは粘度を出すのには向きません。,正解です。　セタノールは、高級アルコールの一種で、クリームの粘度を高め安定させるために使われます。,,39,2,,,,,,,,,,,,,
44,1107,1200,油性原料,スクワランとはどれのことですか？,高級脂肪酸,界面活性剤,炭化水素,,3,不l正解。　スクワランは炭化水素です。,不l正解。　スクワランは炭化水素です。,正解です。　スクワランは、炭化水素に分類される油性成分です。,,,,,,,,,,,,,,,,
45,1107,1200,油性原料,炭化水素の用途ではないものはどれですか？,クリーム,乳化剤,噴射剤,,2,不l正解。　炭化水素に乳化作用はありません。,正解です。　炭化水素は油性の原料としてクリームなどに使われますが、乳化剤としての働きはありません。,不l正解。　炭化水素に乳化作用はありません。,,,,,,,,,,,,,,,,
46,1107,1200,油性原料,炭素数の多い炭化水素は常温でどのような状態ですか？,気体,液体,固体,,3,不l正解。　炭素数が多いと固体になります。,不l正解。　炭素数が多いと固体になります。,正解です。　炭化水素は、炭素数が多くなると固体になります。,,,,,,,,,,,,,,,,
47,1107,1200,油性原料,スクワランは、鮫の肝油に含まれる何から作られますか？,スクワレン,コレステロール,ラノリン,,1,正解です。　鮫の肝油に含まれるスクワレンに水素を添加して作られます。,不l正解。　スクワレンから作られます。,不l正解。　スクワレンから作られます。,,,,,,,,,,,,,,,,
48,1107,1200,油性原料,炭化水素でないものはどれですか？,プロパン,スクワラン,シリコーン,,2,不l正解。　プロパンは炭化水素です。,不l正解。　スクワランは炭化水素です。,正解です。シリコーンは炭化水素ではありません。,,,,,,,,,,,,,,,,
49,1107,1200,油性原料,メチルポリシロキサンは何の代表的な成分ですか？,シリコーン油,炭化水素,ロウ,,1,正解です。　メチルポリシロキサンは、シリコーン油の代表です。,不l正解。　シリコーン油の代表的な成分です。,不l正解。　シリコーン油の代表的な成分です。,,,,,,,,,,,,,,,,
50,1108,1300,界面活性剤,界面活性剤の分子で、水になじむ部分を何といいますか？,親油基,親水基,疎水基,,2,不l正解。　水になじむ部分は親水基といいます。,正解です。　水になじむ部分は親水基といいます。,不l正解。　疎水基とは親油水のことです。,,,,,,,,,,,,,,,,
51,1108,1300,界面活性剤,界面活性剤が表面を埋め尽くした濃度（CMC）のことを何といいますか？,飽和ミセル濃度,臨界ミセル濃度,浸透ミセル濃度,,2,不l正解。　この濃度を臨界ミセル濃度といいます。,正解です。　界面活性剤が表面を埋め尽くし、ミセルを作り始める濃度を臨界ミセル濃度といいます。,不l正解。　この濃度を臨界ミセル濃度といいます。,,,,,,,,,,,,,,,,
52,1108,1300,界面活性剤,界面活性剤が水中で作る、分子の集合体を何といいますか？,イオン,ゲル,ミセル,,3,不l正解。　分子が集まったものをミセルといいます。,不l正解。　分子が集まったものをミセルといいます。,正解です。　界面活性剤の分子が集まってできる粒子をミセルといいます。,,,,,,,,,,,,,,,,
53,1108,1300,界面活性剤,水と油を混ぜて、乳液のような状態にすることを何といいますか？,可溶化,乳化（エマルション）,分散,,2,不l正解。　水と油を混ぜることは乳化といいます。,正解です。　水と油が界面活性剤で混ざることを乳化といいます。,不l正解。　水と油を混ぜることは乳化といいます。,,,,,,,,,,,,,,,,
54,1108,1300,界面活性剤,水の中に油の粒が分散している状態を何といいますか？,O/W型,W/O型,混合型,,1,正解です。　外側が水なのでO/W型（水中油型）といいます。,不l正解。　外側が水の場合はO/W型です。,不l正解。　外側が水の場合はO/W型です。,,,,,,,,,,,,,,,,
55,1108,1300,界面活性剤,油の中に水の粒が分散している状態を何といいますか？,O/W型,W/O型,透明型,,2,不l正解。　外側が油の場合はW/O型です。,正解です。　外側が油なのでW/O型（油中水型）といいます。,不l正解。　外側が油の場合はW/O型です。,,,,,,,,,,,,,,,,
56,1108,1300,界面活性剤,ミセルの粒子が光の波長より小さく、透明な状態を何といいますか？,乳化,可溶化,沈殿,,2,不l正解。　透明になる状態は可溶化といいます。,正解です。　粒子が非常に小さく透明になることを可溶化といいます。,不l正解。　透明になる状態は可溶化といいます。,,,,,,,,,,,,,,,,
57,1108,1300,界面活性剤,水や油の中に、粉（固体）が微粒子状になっている状態を何といいますか？,乳化,可溶化,分散,,3,不l正解。　「粉」が混ざっているのは分散といいます。,不l正解。　「粉」が混ざっているのは分散といいます。,正解です。　液体の中に「粉」が混ざっているのは分散といいます。,,,,,,,,,,,,,,,,
58,1108,1300,界面活性剤,微粒子が液体や気体中に分散している状態を何といいますか？,コロイド,結晶,モノマー,,1,正解です。　粒子が非常に小さい状態で分散しているものをコロイドといいます。,不l正解。　コロイドの状態といいます。,不l正解。　コロイドの状態といいます。モノマーは低分子化合物のことです。,,,,,,,,,,,,,,,,
59,1108,1300,界面活性剤,コロイドの状態のうち、液体状のものが固まった状態はどれですか？,ゲル,ゾル,ポリマー,,1,正解です。　ゲルは、液体状のコロイド（ゾル）が固まった状態です。,不l正解。　固まった状態をゲルといいます。ゾルは液体状のものです。,不l正解。　固まった状態をゲルといいます。ポリマーは高分子化合物のことです。,,,,,,,,,,,,,,,,
60,1108,1300,界面活性剤,界面活性剤が油汚れを取り込み、水中に分散させて落とす作用はどれですか？,酸化作用,洗浄作用,還元作用,,2,不l正解。　汚れを落とすのは洗浄作用です。,正解です。　界面活性剤が汚れを取り込む作用を洗浄作用といいます。,不l正解。　汚れを落とすのは洗浄作用です。,,,,,,,,,,,,,,,,
61,1108,1300,界面活性剤,親水基が「マイナスイオン」になる界面活性剤はどれですか？,陰（アニオン）,陽（カチオン）,非イオン,,1,正解です。　水中でマイナスの電気を帯びるものを陰（アニオン）界面活性剤といいます。,不l正解。　マイナスイオンになるのは陰イオンです。,不l正解。　マイナスイオンになるのは陰イオンです。,,,,,,,,,,,,,,,,
62,1108,1300,界面活性剤,乳化作用や洗浄作用に優れ、シャンプーや洗顔料に最も多く使われるのは？,非イオン界面活性剤,陰イオン界面活性剤,陽イオン界面活性剤,,2,不l正解。　洗浄力と起泡力に優れるのは、陰イオン界面活性剤です。,正解です。　陰イオン界面活性剤は、シャンプーや石けんの主成分として広く使われています。,不l正解。　洗浄力と起泡力に優れるのは、陰イオン界面活性剤です。,,,,,,,,,,,,,,,,
